id	pack	pair_id	selected_letter	surface	answer_group	contrast_surface	needs_disambiguation	disambiguation_mode	picture_role	sentence	image_prompt	source	status	notes
p-pycha-y	starter-picture	pycha-picha	p	pýcha	y	pichá	true	both	both_sides	Veľká {target} nie je dobrá vlastnosť.	proud child standing above others	https://slovnik.juls.savba.sk/?w=p%C3%BDcha	ready	abstract but drawable
p-picha-i	starter-picture	pycha-picha	p	pichá	i	pýcha	true	both	both_sides	Tŕň {target} do prsta.	thorn or cactus pricking a finger	https://slovnik.juls.savba.sk/?w=picha%C5%A5	ready	pricks
p-base-pysit-sa-y	base-selected		p	pýšiť sa	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pysniet-y	base-selected		p	pyšnieť	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pysny-y	base-selected		p	pyšný	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-prepych-y	base-selected		p	prepych	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pykat-y	base-selected		p	pykať	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pyr-y	base-selected		p	pýr	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pyrit-sa-y	base-selected		p	pýriť sa	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pysk-y	base-selected		p	pysk	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pyskaty-y	base-selected		p	pyskatý	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pystek-y	base-selected		p	pyštek	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pytat-sa-y	base-selected		p	pýtať sa	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-spytovat-sa-y	base-selected		p	spytovať sa	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-opytovat-sa-y	base-selected		p	opytovať sa	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-dopyt-y	base-selected		p	dopyt	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pytliak-y	base-selected		p	pytliak	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-kopyto-y	base-selected		p	kopyto	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
p-base-pyzamo-y	base-selected		p	pyžamo	y		false	none	none			https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	candidate	basic-form selected word
